Country,AvgDensity,Pct,Temp,PopDensity,N,Tourists,UniqueReports,GDPQuentile
Malta,29449.89547,83,19.437375,1514.46875,502653,3519000,385,5
Montenegro,8513.02641,58,12.870375,46.26223048,622137,2510000,353,3
Mongolia,4048.082672,37,2.80775,2.035766782,3225167,637000,244,2
Mozambique,489.4348647,2,23.488,37.50853531,30366036,2033000,374,1
Mauritania,1619.478505,21,29.11,4.272163578,4525696,0,353,2
Mauritius,10930.83082,66,24.312375,623.3019704,1265711,1418000,144,4
Malawi,383.1763004,1,21.269375,192.4407616,18628747,0,340,1
Malaysia,11016.94792,66,26.9735,95.96282149,31949777,26101000,433,4
Namibia,5252.065439,45,21.265875,2.973745582,2494530,1651000,334,3
Niger,548.0990783,4,29.231375,17.71765059,23310715,192000,287,1
Nigeria,2075.400471,26,28.005875,215.064989,200963599,0,408,2
Nicaragua,2030.871181,25,26.87155556,53.72704836,6545502,1455000,68,2
Netherlands,51350.35717,94,9.8565,511.7797446,17332850,20129000,425,5
Norway,77550.28483,98,1.735375,14.54889562,5347896,5879000,422,5
Nepal,1007.048892,11,15.95125,195.9391071,28608710,1197000,378,1
New Zealand,42627.90342,90,11.0885,18.38517337,4917000,3888000,308,5
Oman,15664.92167,73,28.194375,15.6041454,4974986,3506000,329,4
Pakistan,1410.667004,17,22.320875,275.2893187,216565318,0,407,1
Panama,15491.31177,72,27.2175,56.30954339,4246439,2494000,411,4
Peru,6876.479887,52,19.97625,24.99160625,32510453,5275000,350,3
Philippines,3286.80359,33,27.41675,357.6883053,108116615,8261000,422,2
Papua New Guinea,2775.265396,30,25.069125,19.00436338,8776109,211000,145,2
Poland,15008.557,71,9.257875,124.0315838,37970874,88515000,419,4
Portugal,22768.34763,80,15.88925,112.261936,10269417,17174000,419,4
Paraguay,5633.685174,46,22.81775,17.50835892,7044636,4368000,404,3
Qatar,62373.68703,96,28.57375,242.0954743,2832067,2136500,419,5
Romania,12042.40479,68,11.6455,84.63380129,19356544,12815000,421,4
Rwanda,791.8769659,8,20.103875,498.6598703,12626950,1634000,401,1
Saudi Arabia,22427.50268,79,27.74075,15.67665431,34268528,20292000,417,4
Sudan,725.7471016,6,28.572,22.60478633,42813238,0,273,1
Senegal,1424.707186,17,29.3015,82.34747832,16296364,0,412,1
Singapore,64111.93572,97,27.602875,7952.99859,5703569,19116000,450,5
Solomon Islands,2382.654912,28,27.21025,23.32468739,669823,28899.99962,11,2
Sierra Leone,520.3018422,3,26.948,105.987171,7813215,71000,328,1
El Salvador,4055.055558,38,25.91077778,309.8814672,6453553,2639000,388,2
Serbia,6985.593868,52,12.843625,79.8376858,6944975,1847000,409,3
Suriname,6004.171056,48,26.95725,3.692224359,581363,0,333,3
Slovenia,25191.63761,81,11.74475,102.9922926,2087946,4702000,401,5
Sweden,53331.86326,94,4.19975,24.98149812,10285453,7616000,318,5
Seychelles,16581.72637,74,27.451625,210.3521739,97625,428000,139,4
Chad,700.5461813,5,28.356,12.29173364,15946876,0,332,1
Togo,661.7848459,4,27.718,145.0467733,8082366,876000,375,1
Thailand,7231.71091,53,27.864875,135.8972068,69625582,39916000,404,3
Tajikistan,834.4835643,9,6.562625,65.57271417,9321018,0,242,1
Tunisia,3412.490474,34,21.887125,74.44132338,11694719,9429000,369,2
Turkey,9724.543123,64,14.026625,106.9601289,83429615,51747000,412,4
Tanzania,1062.652515,12,22.77275,63.5790788,58005463,1527000,24,1
Uganda,770.6634795,7,24.024625,213.0617345,44269594,0,366,1
Ukraine,3132.174797,31,10.9135,77.0150466,44385155,13710000,409,2
Uruguay,16930.08149,75,16.754375,19.70802765,3461734,3480000,405,4
Uzbekistan,1693.496972,22,16.18825,74.80586987,33580650,6749000,395,2
Vietnam,2549.164884,30,25.232125,308.1252459,96462106,18009000,325,2
Samoa,4257.435788,40,27.1765,69.30388693,197097,181000,4,2
South Africa,6169.30295,48,17.325375,47.63011978,58558270,14797000,416,3
Zambia,1452.106889,17,21.196,23.3414789,17861030,1266000,348,1
Zimbabwe,1565.298848,19,20.71075,37.32459093,14645468,2294000,354,1
